,Fall,MajorName,College,Total,Male,Female,AbsDif,AbsDifMale,AbsDifFemale,RelDif,RelDifMale,RelDifFemale
204,2018,Crafts,Fine and Applied Arts,4,0.0,4.0,-16.0,-5.0,-11.0,-80.0,-100.0,-73.33333333333333
205,2018,Dance,Fine and Applied Arts,68,9.0,59.0,27.0,4.0,23.0,65.85365853658537,80.0,63.888888888888886
206,2018,Computer Science and Music,Fine and Applied Arts,1,1.0,0.0,1.0,1.0,0.0,10000.0,10000.0,10000.0
207,1980,MUS-VOICE,Fine and Applied Arts,44,15.0,29.0,-44.0,-15.0,-29.0,-100.0,-100.0,-100.0
208,2018,History of Art,Fine and Applied Arts,8,3.0,5.0,8.0,3.0,5.0,10000.0,10000.0,10000.0
209,2018,Urban Studies & Planning,Fine and Applied Arts,80,49.0,31.0,80.0,49.0,31.0,10000.0,10000.0,10000.0
210,2018,Urban Planning,Fine and Applied Arts,53,26.0,27.0,-39.0,-23.0,-16.0,-42.391304347826086,-46.93877551020408,-37.2093023255814
211,2018,Theatre,Fine and Applied Arts,201,85.0,115.0,79.0,29.0,49.0,64.75409836065575,51.78571428571429,74.24242424242425
212,2018,Sculpture,Fine and Applied Arts,3,2.0,1.0,3.0,2.0,1.0,10000.0,10000.0,10000.0
213,2018,Regional Planning,Fine and Applied Arts,16,10.0,6.0,16.0,10.0,6.0,10000.0,10000.0,10000.0
215,2018,Photography,Fine and Applied Arts,32,8.0,24.0,32.0,8.0,24.0,10000.0,10000.0,10000.0
216,2018,Painting,Fine and Applied Arts,36,4.0,32.0,36.0,4.0,32.0,10000.0,10000.0,10000.0
218,2018,Open Studies,Fine and Applied Arts,5,2.0,3.0,5.0,2.0,3.0,10000.0,10000.0,10000.0
220,2018,Nondegree,Fine and Applied Arts,38,17.0,21.0,38.0,17.0,21.0,10000.0,10000.0,10000.0
223,2018,New Media,Fine and Applied Arts,29,7.0,22.0,29.0,7.0,22.0,10000.0,10000.0,10000.0
224,2018,Musicology,Fine and Applied Arts,19,11.0,8.0,19.0,11.0,8.0,10000.0,10000.0,10000.0
225,2018,Music Education,Fine and Applied Arts,152,72.0,80.0,-157.0,-58.0,-99.0,-50.80906148867314,-44.61538461538462,-55.3072625698324
226,2018,Music Composition,Fine and Applied Arts,10,10.0,0.0,10.0,10.0,0.0,10000.0,10000.0,10000.0
227,2018,Music,Fine and Applied Arts,338,178.0,160.0,87.0,34.0,53.0,34.66135458167331,23.61111111111111,49.532710280373834
228,2018,Lyric Theatre,Fine and Applied Arts,12,2.0,10.0,12.0,2.0,10.0,10000.0,10000.0,10000.0
229,2018,Landscape Architecture,Fine and Applied Arts,108,32.0,76.0,-50.0,-65.0,15.0,-31.645569620253166,-67.0103092783505,24.59016393442623
230,2018,Jazz Performance,Fine and Applied Arts,31,25.0,6.0,31.0,25.0,6.0,10000.0,10000.0,10000.0
231,2018,Instrumental Music,Fine and Applied Arts,77,30.0,47.0,77.0,30.0,47.0,10000.0,10000.0,10000.0
232,2018,Graphic Design,Fine and Applied Arts,185,58.0,127.0,21.0,18.0,3.0,12.804878048780488,45.0,2.4193548387096775
233,2018,Industrial Design,Fine and Applied Arts,201,99.0,102.0,104.0,43.0,61.0,107.21649484536083,76.78571428571429,148.78048780487805
234,2018,Voice,Fine and Applied Arts,25,8.0,17.0,25.0,8.0,17.0,10000.0,10000.0,10000.0
238,2018,Art History,Fine and Applied Arts,14,2.0,12.0,-45.0,-12.0,-33.0,-76.27118644067797,-85.71428571428571,-73.33333333333333
239,2018,Art Foundation,Fine and Applied Arts,15,3.0,12.0,15.0,3.0,12.0,10000.0,10000.0,10000.0
240,1980,PERFORM ST,Fine and Applied Arts,24,18.0,6.0,-24.0,-18.0,-6.0,-100.0,-100.0,-100.0
241,2018,Art Education,Fine and Applied Arts,54,3.0,51.0,-18.0,-10.0,-8.0,-25.0,-76.92307692307693,-13.559322033898304
242,2018,Architecture,Fine and Applied Arts,199,99.0,99.0,13.0,-55.0,67.0,6.989247311827956,-35.714285714285715,209.375
243,1980,UNCLASS,Fine and Applied Arts,65,22.0,43.0,-65.0,-22.0,-43.0,-100.0,-100.0,-100.0
244,2018,Architectural Studies,Fine and Applied Arts,418,251.0,167.0,-209.0,-223.0,14.0,-33.33333333333333,-47.04641350210971,9.15032679738562
246,1980,Music History,Fine and Applied Arts,4,1.0,3.0,-4.0,-1.0,-3.0,-100.0,-100.0,-100.0
248,2018,Art and Design,Fine and Applied Arts,47,18.0,29.0,-316.0,-97.0,-219.0,-87.05234159779614,-84.34782608695653,-88.30645161290323
251,1980,MUSIC-COMP,Fine and Applied Arts,19,16.0,3.0,-19.0,-16.0,-3.0,-100.0,-100.0,-100.0
252,1980,MUSIC-INST,Fine and Applied Arts,105,54.0,51.0,-105.0,-54.0,-51.0,-100.0,-100.0,-100.0
253,1980,TCH DANCE,Fine and Applied Arts,8,0.0,8.0,-8.0,-0.0,-8.0,-100.0,-100.0,-100.0
256,2018,Informatics,Graduate,45,26.0,19.0,45.0,26.0,19.0,10000.0,10000.0,10000.0
257,2018,Nondegree,Graduate,15,11.0,4.0,15.0,11.0,4.0,10000.0,10000.0,10000.0
262,1980,HR&FS,LAS,61,0.0,61.0,-61.0,-0.0,-61.0,-100.0,-100.0,-100.0
264,1980,Asian Studies,LAS,17,10.0,7.0,-17.0,-10.0,-7.0,-100.0,-100.0,-100.0
265,2018,Neuroscience,LAS,54,22.0,32.0,54.0,22.0,32.0,10000.0,10000.0,10000.0
266,2018,Cell and Developmental Biology,LAS,31,13.0,18.0,31.0,13.0,18.0,10000.0,10000.0,10000.0
267,2018,Molecular and Cellular Biology,LAS,953,418.0,535.0,953.0,418.0,535.0,10000.0,10000.0,10000.0
269,2018,Latin American Studies,LAS,5,4.0,1.0,5.0,4.0,1.0,10000.0,10000.0,10000.0
271,2018,Linguistics,LAS,125,50.0,75.0,62.0,18.0,44.0,98.4126984126984,56.25,141.93548387096774
272,1980,TCH ENGL,LAS,55,8.0,47.0,-55.0,-8.0,-47.0,-100.0,-100.0,-100.0
274,1980,TCH BIOL,LAS,17,6.0,11.0,-17.0,-6.0,-11.0,-100.0,-100.0,-100.0
276,2018,Math & Computer Science,LAS,273,225.0,48.0,273.0,225.0,48.0,10000.0,10000.0,10000.0
278,2018,Microbiology,LAS,49,20.0,29.0,-10.0,-14.0,4.0,-16.94915254237288,-41.17647058823529,16.0
279,1980,Speech Communication,LAS,49,27.0,22.0,-49.0,-27.0,-22.0,-100.0,-100.0,-100.0
280,2018,Molecular & Integrative Physi,LAS,23,8.0,15.0,-34.0,-35.0,1.0,-59.64912280701754,-81.3953488372093,7.142857142857142
281,2018,Molecular&Cell Bio-undeclared,LAS,27,12.0,15.0,27.0,12.0,15.0,10000.0,10000.0,10000.0
283,2018,Mathematics,LAS,772,506.0,265.0,633.0,387.0,245.0,455.39568345323744,325.21008403361344,1225.0
284,2018,Nondegree,LAS,149,76.0,73.0,149.0,76.0,73.0,10000.0,10000.0,10000.0
285,2018,Physics,LAS,275,219.0,56.0,-87.0,-117.0,30.0,-24.03314917127072,-34.82142857142857,115.38461538461537
288,2018,Statistics,LAS,561,325.0,236.0,550.0,319.0,231.0,5000.0,5316.666666666666,4620.0
289,2018,Statistics & Computer Science,LAS,259,195.0,64.0,259.0,195.0,64.0,10000.0,10000.0,10000.0
290,2018,Teaching of Biological Science,LAS,24,9.0,15.0,23.0,8.0,15.0,2300.0,800.0,10000.0
291,2018,Teaching of Chemistry,LAS,1,0.0,1.0,-6.0,-3.0,-3.0,-85.71428571428571,-100.0,-75.0
292,2018,Teaching of English Sec Lang,LAS,28,5.0,23.0,-47.0,-10.0,-37.0,-62.66666666666667,-66.66666666666666,-61.66666666666667
293,2018,Spanish,LAS,121,40.0,81.0,75.0,22.0,53.0,163.04347826086956,122.22222222222223,189.28571428571428
294,2018,Teaching of French,LAS,1,0.0,1.0,-14.0,-1.0,-13.0,-93.33333333333333,-100.0,-92.85714285714286
295,2018,Teaching of Mathematics,LAS,3,2.0,1.0,-25.0,-8.0,-17.0,-89.28571428571429,-80.0,-94.44444444444444
296,2018,Teaching of Spanish,LAS,7,0.0,7.0,-23.0,-2.0,-21.0,-76.66666666666667,-100.0,-75.0
299,2018,Translation and Interpreting,LAS,30,10.0,20.0,30.0,10.0,20.0,10000.0,10000.0,10000.0
301,2018,Teaching of Latin,LAS,2,0.0,2.0,0.0,0.0,0.0,0.0,10000.0,0.0
302,2018,Sociology,LAS,213,77.0,136.0,167.0,49.0,118.0,363.04347826086956,175.0,655.5555555555555
303,2018,Slavic Studies,LAS,5,3.0,2.0,5.0,3.0,2.0,10000.0,10000.0,10000.0
304,2018,Slavic Languages & Literature,LAS,14,3.0,11.0,1.0,-3.0,4.0,7.6923076923076925,-50.0,57.14285714285714
306,1980,PUB ADMIN,LAS,19,12.0,7.0,-19.0,-12.0,-7.0,-100.0,-100.0,-100.0
307,2018,Philosophy,LAS,111,82.0,29.0,78.0,54.0,24.0,236.36363636363637,192.85714285714286,480.0
308,1980,LAS TCH MATH,LAS,1,0.0,1.0,-1.0,-0.0,-1.0,-100.0,-100.0,-100.0
309,1980,TCH SOC ST,LAS,10,5.0,5.0,-10.0,-5.0,-5.0,-100.0,-100.0,-100.0
310,2018,Plant Biology,LAS,33,12.0,21.0,2.0,-6.0,8.0,6.451612903225806,-33.33333333333333,61.53846153846154
311,2018,Political Science,LAS,768,422.0,345.0,722.0,393.0,328.0,1569.5652173913043,1355.1724137931035,1929.4117647058822
312,2018,Portuguese,LAS,1,0.0,1.0,1.0,0.0,1.0,10000.0,10000.0,10000.0
313,1980,PRE-MED,LAS,28,18.0,10.0,-28.0,-18.0,-10.0,-100.0,-100.0,-100.0
314,2018,Psychological Science,LAS,21,8.0,13.0,21.0,8.0,13.0,10000.0,10000.0,10000.0
315,2018,Psychology,LAS,1667,437.0,1230.0,1507.0,351.0,1156.0,941.8749999999999,408.13953488372096,1562.162162162162
316,1980,PRE-JOURN,LAS,57,24.0,33.0,-57.0,-24.0,-33.0,-100.0,-100.0,-100.0
318,2018,Religion,LAS,12,4.0,8.0,12.0,4.0,8.0,10000.0,10000.0,10000.0
319,2018,"Russian, E Eur, Eurasian St ",LAS,10,3.0,7.0,10.0,3.0,7.0,10000.0,10000.0,10000.0
321,2018,LAS - Undeclared,LAS,135,46.0,89.0,135.0,46.0,89.0,10000.0,10000.0,10000.0
322,2018,Latina/Latino Studies,LAS,16,1.0,15.0,16.0,1.0,15.0,10000.0,10000.0,10000.0
323,2018,Econometrics & Quant Econ,LAS,33,26.0,7.0,33.0,26.0,7.0,10000.0,10000.0,10000.0
324,2018,General Curriculum,LAS,121,76.0,45.0,121.0,76.0,45.0,10000.0,10000.0,10000.0
325,2018,Gender and Women's Studies,LAS,20,0.0,20.0,20.0,0.0,20.0,10000.0,10000.0,10000.0
326,2018,French,LAS,36,16.0,20.0,-4.0,9.0,-13.0,-10.0,128.57142857142858,-39.39393939393939
327,2018,Biophysics & Quant Biology,LAS,46,33.0,13.0,46.0,33.0,13.0,10000.0,10000.0,10000.0
328,2018,Computer Sci & Anthropology,LAS,36,26.0,10.0,36.0,26.0,10.0,10000.0,10000.0,10000.0
329,2018,Computer Sci & Astronomy,LAS,39,32.0,7.0,39.0,32.0,7.0,10000.0,10000.0,10000.0
330,2018,Computer Sci & Chemistry,LAS,41,32.0,9.0,41.0,32.0,9.0,10000.0,10000.0,10000.0
332,2018,European Union Studies,LAS,6,3.0,3.0,6.0,3.0,3.0,10000.0,10000.0,10000.0
333,2018,Computer Sci & Linguistics,LAS,76,51.0,25.0,76.0,51.0,25.0,10000.0,10000.0,10000.0
334,2018,Biophysics & Computnl Biology,LAS,12,9.0,3.0,-9.0,-9.0,0.0,-42.857142857142854,-50.0,0.0
335,2018,Entomology,LAS,29,21.0,8.0,-1.0,-2.0,1.0,-3.3333333333333335,-8.695652173913043,14.285714285714285
336,2018,English,LAS,442,119.0,323.0,334.0,69.0,265.0,309.25925925925924,138.0,456.8965517241379
337,2018,Geography,LAS,53,32.0,21.0,10.0,2.0,8.0,23.25581395348837,6.666666666666667,61.53846153846154
339,2018,Biology,LAS,720,280.0,440.0,701.0,270.0,431.0,3689.473684210526,2700.0,4788.888888888889
340,1980,Zoology,LAS,3,1.0,2.0,-3.0,-1.0,-2.0,-100.0,-100.0,-100.0
341,2018,African Studies,LAS,4,1.0,3.0,4.0,1.0,3.0,10000.0,10000.0,10000.0
343,2018,Creative Writing,LAS,98,38.0,60.0,98.0,38.0,60.0,10000.0,10000.0,10000.0
344,2018,Economics,LAS,1202,834.0,368.0,1042.0,717.0,325.0,651.25,612.8205128205128,755.8139534883721
345,2018,Asian American Studies,LAS,3,2.0,1.0,3.0,2.0,1.0,10000.0,10000.0,10000.0
346,2018,"Ecol, Evol, Conservation Biol ",LAS,34,11.0,23.0,34.0,11.0,23.0,10000.0,10000.0,10000.0
347,2018,East Asian Studies,LAS,11,6.0,5.0,11.0,6.0,5.0,10000.0,10000.0,10000.0
348,2018,"Earth, Soc, Env Sustainability ",LAS,139,63.0,76.0,139.0,63.0,76.0,10000.0,10000.0,10000.0
349,2018,Astronomy,LAS,119,78.0,41.0,103.0,65.0,38.0,643.75,500.0,1266.6666666666665
350,2018,E Asian Languages & Cultures,LAS,59,20.0,39.0,59.0,20.0,39.0,10000.0,10000.0,10000.0
351,2018,Atmospheric Sciences,LAS,117,77.0,40.0,95.0,60.0,35.0,431.8181818181818,352.94117647058823,700.0
352,2018,Computer Science & Economics,LAS,3,3.0,0.0,3.0,3.0,0.0,10000.0,10000.0,10000.0
354,2018,Geography & Geographic Info Sc,LAS,38,30.0,8.0,38.0,30.0,8.0,10000.0,10000.0,10000.0
355,2018,German,LAS,9,6.0,3.0,-17.0,-7.0,-10.0,-65.38461538461539,-53.84615384615385,-76.92307692307693
356,1980,TCH SPEECH,LAS,9,5.0,4.0,-9.0,-5.0,-4.0,-100.0,-100.0,-100.0
357,2018,Italian,LAS,7,3.0,4.0,5.0,1.0,4.0,250.0,50.0,10000.0
359,2018,Chemical Engineering,LAS,756,502.0,252.0,226.0,83.0,141.0,42.64150943396226,19.809069212410503,127.02702702702702
360,2018,Interdisciplinary,LAS,2,1.0,1.0,2.0,1.0,1.0,10000.0,10000.0,10000.0
361,2018,Chemical Physics,LAS,3,2.0,1.0,-3.0,-3.0,0.0,-50.0,-60.0,0.0
362,2018,Integrative Biology,LAS,347,147.0,200.0,347.0,147.0,200.0,10000.0,10000.0,10000.0
363,1980,Genetics,LAS,6,3.0,3.0,-6.0,-3.0,-3.0,-100.0,-100.0,-100.0
364,1980,GEN CURR,LAS,2408,1015.0,1393.0,-2408.0,-1015.0,-1393.0,-100.0,-100.0,-100.0
366,2018,Chemistry,LAS,798,452.0,346.0,267.0,44.0,223.0,50.282485875706215,10.784313725490197,181.3008130081301
369,2018,Individual Plans of Study,LAS,13,5.0,8.0,13.0,5.0,8.0,10000.0,10000.0,10000.0
370,2018,Classical Philology,LAS,10,7.0,3.0,1.0,0.0,1.0,11.11111111111111,0.0,50.0
371,2018,Classics,LAS,17,7.0,10.0,8.0,-1.0,9.0,88.88888888888889,-12.5,900.0
372,2018,Communication,LAS,732,280.0,452.0,705.0,268.0,437.0,2611.111111111111,2233.333333333333,2913.3333333333335
376,2018,History of Art,LAS,17,2.0,15.0,17.0,2.0,15.0,10000.0,10000.0,10000.0
377,1980,UNCLASS,LAS,214,82.0,132.0,-214.0,-82.0,-132.0,-100.0,-100.0,-100.0
378,2018,History,LAS,340,216.0,124.0,258.0,170.0,88.0,314.6341463414634,369.5652173913044,244.44444444444446
379,2018,Health Communication,LAS,27,2.0,25.0,27.0,2.0,25.0,10000.0,10000.0,10000.0
380,2018,Comparative Literature,LAS,29,7.0,22.0,-13.0,-15.0,2.0,-30.952380952380953,-68.18181818181817,10.0
381,2018,Global Studies,LAS,183,52.0,131.0,183.0,52.0,131.0,10000.0,10000.0,10000.0
382,2018,Germanic Studies,LAS,3,2.0,1.0,3.0,2.0,1.0,10000.0,10000.0,10000.0
383,2018,Germanic Lang & Lit,LAS,4,0.0,4.0,4.0,0.0,4.0,10000.0,10000.0,10000.0
384,2018,Geology,LAS,97,55.0,42.0,-18.0,-24.0,6.0,-15.65217391304348,-30.37974683544304,16.666666666666664
385,2018,Biochemistry,LAS,242,124.0,118.0,156.0,58.0,98.0,181.3953488372093,87.87878787878788,490.00000000000006
386,2018,Nondegree-CE,LN,399,170.0,222.0,399.0,170.0,222.0,10000.0,10000.0,10000.0
387,1980,LAB&IN REL,Labor and Industrial Relations,79,47.0,32.0,-79.0,-47.0,-32.0,-100.0,-100.0,-100.0
388,2018,Human Res & Industrial Rels,Labor and Industrial Relations,251,74.0,177.0,251.0,74.0,177.0,10000.0,10000.0,10000.0
389,2018,Law,Law,487,269.0,218.0,-152.0,-199.0,47.0,-23.78716744913928,-42.52136752136752,27.485380116959064
391,2018,Journalism,Media,228,90.0,138.0,25.0,15.0,10.0,12.31527093596059,20.0,7.8125
393,2018,Broadcast Journalism,Media,1,0.0,1.0,1.0,0.0,1.0,10000.0,10000.0,10000.0
394,2018,Media and Cinema Studies,Media,116,50.0,66.0,116.0,50.0,66.0,10000.0,10000.0,10000.0
395,2018,Agricultural Communications,Media,2,1.0,1.0,-77.0,-30.0,-47.0,-97.46835443037975,-96.7741935483871,-97.91666666666666
396,2018,Strategic Brand Communication,Media,68,17.0,51.0,68.0,17.0,51.0,10000.0,10000.0,10000.0
399,2018,Nondegree,Media,26,13.0,13.0,26.0,13.0,13.0,10000.0,10000.0,10000.0
400,2018,Communications and Media,Media,47,14.0,33.0,47.0,14.0,33.0,10000.0,10000.0,10000.0
401,2018,Medicine - Carle Illinois COM,Medicine,32,15.0,15.0,32.0,15.0,15.0,10000.0,10000.0,10000.0
402,2018,Nondegree,NB,3,0.0,2.0,3.0,0.0,2.0,10000.0,10000.0,10000.0
403,2018,Social Work,Social Work,788,247.0,541.0,473.0,178.0,295.0,150.15873015873015,257.9710144927536,119.91869918699187
405,1980,VMS - Veterinary Pathobiology,VetMed,21,12.0,9.0,-21.0,-12.0,-9.0,-100.0,-100.0,-100.0
407,1980,Veterinary Medical Science,VetMed,28,20.0,8.0,-28.0,-20.0,-8.0,-100.0,-100.0,-100.0
409,2018,Veterinary Medicine,VetMed,545,75.0,470.0,190.0,-135.0,325.0,53.52112676056338,-64.28571428571429,224.13793103448273
410,2018,VMS - Comparative Biosciences,VetMed,19,2.0,17.0,19.0,2.0,17.0,10000.0,10000.0,10000.0
411,2018,VMS - Pathobiology,VetMed,29,12.0,17.0,29.0,12.0,17.0,10000.0,10000.0,10000.0
412,2018,VMS-Veterinary Clinical Medcne,VetMed,34,9.0,25.0,23.0,1.0,22.0,209.0909090909091,12.5,733.3333333333333
413,1980,VMS - Veterinary Biosciences,VetMed,22,11.0,11.0,-22.0,-11.0,-11.0,-100.0,-100.0,-100.0
414,2018,Bioinformatics,iSchool,4,3.0,1.0,4.0,3.0,1.0,10000.0,10000.0,10000.0
416,2018,Information Management,iSchool,276,131.0,145.0,276.0,131.0,145.0,10000.0,10000.0,10000.0
417,2018,Library & Information Science,iSchool,529,116.0,408.0,387.0,82.0,300.0,272.53521126760563,241.17647058823528,277.77777777777777
